session,pupil_x,pupil_y
1,341,280
1,340,280
1,341,279
1,341,279
1,340,279
1,340,279
1,341,279
1,341,279
1,341,280
1,341,280
1,341,280
1,342,279
1,343,279
1,343,279
1,343,279
1,343,279
1,342,279
1,342,280
1,342,280
1,342,280
1,342,280
1,342,279
1,342,279
1,342,279
1,342,280
1,342,280
1,342,280
1,342,280
1,342,279
1,342,279
1,342,279
1,342,279
1,342,279
1,342,279
1,342,279
1,342,279
1,342,278
1,342,279
1,342,279
1,342,278
1,342,279
1,342,279
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,280
1,342,279
1,342,279
1,342,279
1,342,280
1,342,280
1,342,280
2,301,272
2,301,272
2,301,272
2,301,272
2,300,272
2,300,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,300,273
2,301,272
2,301,272
2,301,271
2,301,271
2,301,271
2,301,271
2,301,271
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,271
2,301,272
2,301,272
2,301,272
2,301,272
2,301,271
2,301,271
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,272
2,301,271
2,301,271
2,301,272
2,301,272
2,300,272
3,257,268
3,257,268
3,257,268
3,257,268
3,256,268
3,256,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,257,268
3,256,268
3,256,268
3,256,267
3,256,267
3,256,267
3,256,267
3,256,267
3,256,268
3,256,267
3,255,267
3,256,267
3,256,267
3,255,267
3,256,267
3,255,267
3,256,267
3,255,267
3,255,267
3,256,267
3,256,267
3,255,267
3,256,267
3,256,267
3,256,267
3,256,267
4,344,297
4,344,297
4,344,298
4,344,298
4,344,298
4,344,298
4,344,297
4,344,297
4,344,297
4,344,298
4,344,298
4,344,298
4,344,297
4,344,297
4,344,297
4,344,297
4,344,297
4,344,297
4,344,297
4,344,297
4,344,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,345,297
4,344,297
4,343,297
4,343,297
5,300,291
5,300,291
5,300,290
5,300,290
5,300,290
5,300,290
5,301,290
5,301,290
5,301,290
5,301,290
5,301,290
5,301,290
5,301,290
5,301,288
5,301,290
5,301,290
5,301,290
5,300,290
5,300,290
5,300,291
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,300,290
5,301,287
5,300,290
5,299,290
5,299,290
5,300,290
5,299,290
5,298,289
6,253,283
6,253,283
6,253,283
6,252,283
6,252,283
6,252,283
6,253,283
6,253,283
6,253,283
6,253,283
6,253,283
6,253,283
6,253,283
6,252,283
6,252,283
6,252,283
6,253,283
6,252,283
6,252,283
6,252,283
6,252,283
6,253,283
6,253,283
6,253,282
6,252,283
6,253,283
6,253,283
6,253,283
6,253,283
6,253,283
6,252,283
6,252,283
6,253,283
6,252,282
6,252,282
6,252,282
6,252,282
6,252,282
6,253,282
6,253,282
6,253,282
6,253,282
6,252,282
6,252,282
7,341,315
7,341,315
7,341,314
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,314
7,341,315
7,341,314
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
7,341,315
8,299,308
8,298,308
8,298,308
8,298,309
8,298,308
8,299,308
8,299,308
8,299,308
8,299,308
8,302,312
8,299,308
8,298,308
8,296,308
8,297,308
8,297,308
8,297,308
8,297,308
8,297,308
8,297,308
8,297,308
8,296,308
8,296,308
8,298,305
8,296,308
8,297,308
8,297,308
8,296,308
8,296,308
8,296,308
8,296,308
8,296,308
8,296,308
8,297,307
8,296,308
9,251,301
9,251,301
9,251,301
9,250,301
9,250,301
9,251,301
9,251,301
9,251,301
9,251,301
9,251,301
9,251,301
9,251,301
9,251,300
9,251,300
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,300
9,250,301
9,250,301
9,250,301
9,250,300
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,300
9,250,300
9,250,300
9,250,300
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
9,250,301
